case_number,date_filed,time_filed,crime_type_code,description,status,district_name,police_station,location_name,location_lat,location_lng,investigation_office,year_filed,month_filed,hour_of_crime
KAR/KOL/2024/0473,2024-11-20,01:31:00,vehicle_theft,"Reported incident of vehicle theft at Near Pall Chowk, Kolar. Suspect vehicle noticed with plate KA-12-KA-5484.",open,Kolar,Kolar Traffic PS,"Near Pall Chowk, Kolar",13.2013,78.0937,Insp. Rachana Kumer,2024,11,1
KAR/BEN/2024/0474,2024-10-24,04:12:00,robbery,"Reported incident of robbery at Near Kothari Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-16-KA-4102.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Kothari Street, Bengaluru Urban",12.9176,77.5601,Insp. Sanya Venkataraman,2024,10,4
KAR/BEN/2024/0475,2024-05-11,05:02:00,assault,"Reported incident of assault at Near Dutt Street, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Dutt Street, Bengaluru Urban",12.9938,77.593,Insp. Kevin Ratta,2024,5,5
KAR/BID/2024/0476,2024-11-17,15:50:00,vehicle_theft,"Reported incident of vehicle theft at Near Boase Chowk, Bidar. Suspect vehicle noticed with plate KA-23-B-3415.",chargesheeted,Bidar,Bidar Industrial PS,"Near Boase Chowk, Bidar",17.9189,77.5166,Insp. Luke Vig,2024,11,15
KAR/BEN/2024/0477,2024-11-18,05:11:00,vehicle_theft,"Reported incident of vehicle theft at Near Mutti Road, Bengaluru Urban. Suspect vehicle noticed with plate KA-20-M-7594.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Mutti Road, Bengaluru Urban",13.0193,77.6052,Insp. Isaiah Sood,2024,11,5
KAR/RAI/2024/0478,2024-02-09,15:59:00,burglary,"Reported incident of burglary at Near Vora Circle, Raichur.",under_investigation,Raichur,Raichur Market PS,"Near Vora Circle, Raichur",16.1927,77.2648,Insp. Hitesh Mann,2024,2,15
KAR/MYS/2024/0479,2025-03-01,23:07:00,domestic_violence,"Reported incident of domestic violence at Near Sidhu Chowk, Mysuru.",under_investigation,Mysuru,Mysuru Central PS,"Near Sidhu Chowk, Mysuru",12.2712,76.6264,Insp. Jasmit Memon,2025,3,23
KAR/BEL/2024/0480,2024-07-17,12:06:00,burglary,"Reported incident of burglary at Near Saha Path, Belagavi.",open,Belagavi,Belagavi Rural PS,"Near Saha Path, Belagavi",15.8557,74.5411,Insp. Lucky Wason,2024,7,12
KAR/DAV/2024/0481,2024-01-07,17:55:00,burglary,"Reported incident of burglary at Near Nayak Road, Davangere.",open,Davangere,Davangere Suburban PS,"Near Nayak Road, Davangere",14.5308,75.9786,Insp. Wridesh Kumar,2024,1,17
KAR/MYS/2024/0482,2024-05-31,09:47:00,cybercrime,"Reported incident of cybercrime at Near Din Zila, Mysuru.",open,Mysuru,Mysuru North PS,"Near Din Zila, Mysuru",12.3933,76.6867,Insp. Triya Hora,2024,5,9
KAR/MYS/2024/0483,2024-02-15,00:03:00,robbery,"Reported incident of robbery at Near Mukherjee Street, Mysuru. Suspect vehicle noticed with plate KA-45-N-1963.",open,Mysuru,Mysuru South PS,"Near Mukherjee Street, Mysuru",12.3349,76.5859,Insp. Idika Srivastava,2024,2,0
KAR/MAN/2024/0484,2024-03-26,20:07:00,chain_snatching,"Reported incident of chain snatching at Near Natarajan Road, Mandya. Suspect vehicle noticed with plate KA-28-N-6150.",under_investigation,Mandya,Mandya Traffic PS,"Near Natarajan Road, Mandya",12.5453,76.9013,Insp. Elijah Goswami,2024,3,20
KAR/MYS/2024/0485,2024-01-12,22:50:00,hit_and_run,"Reported incident of hit and run at Near Maharaj Road, Mysuru.",chargesheeted,Mysuru,Mysuru West PS,"Near Maharaj Road, Mysuru",12.3232,76.5546,Insp. Wishi Ravi,2024,1,22
KAR/BEN/2024/0486,2024-08-17,14:36:00,kidnapping,"Reported incident of kidnapping at Near Deshmukh Marg, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Deshmukh Marg, Bengaluru Urban",12.9938,77.5554,Insp. Chavvi Biswas,2024,8,14
KAR/BAL/2024/0487,2024-03-19,22:42:00,fraud,"Reported incident of fraud at Near Dubey Zila, Ballari.",open,Ballari,Ballari Market PS,"Near Dubey Zila, Ballari",15.1788,76.8591,Insp. Gauri Banik,2024,3,22
KAR/MAN/2024/0488,2024-08-27,06:26:00,property_crime,"Reported incident of property crime at Near Nagar, Mangaluru (Dakshina Kannada).",under_investigation,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Traffic PS,"Near Nagar, Mangaluru (Dakshina Kannada)",12.8694,74.8999,Insp. Hemal Nath,2024,8,6
KAR/MAN/2024/0489,2024-11-13,08:33:00,vehicle_theft,"Reported incident of vehicle theft at Near Memon Circle, Mandya. Suspect vehicle noticed with plate KA-03-KA-3979.",open,Mandya,Mandya Traffic PS,"Near Memon Circle, Mandya",12.5751,76.9338,Insp. Kai Dyal,2024,11,8
KAR/VIJ/2024/0490,2024-03-26,15:32:00,cybercrime,"Reported incident of cybercrime at Near Keer Zila, Vijayapura.",open,Vijayapura,Vijayapura Traffic PS,"Near Keer Zila, Vijayapura",16.7763,75.6754,Insp. Januja Chander,2024,3,15
KAR/KOL/2024/0491,2024-02-07,19:18:00,robbery,"Reported incident of robbery at Near Luthra, Kolar. Suspect vehicle noticed with plate KA-06-B-4041.",chargesheeted,Kolar,Kolar Industrial PS,"Near Luthra, Kolar",13.1837,78.0357,Insp. Qarin Menon,2024,2,19
KAR/BEN/2024/0492,2024-11-13,05:50:00,vehicle_theft,"Reported incident of vehicle theft at Near Chopra Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-53-KB-4271.",chargesheeted,Bengaluru Urban,Bengaluru Urban West PS,"Near Chopra Ganj, Bengaluru Urban",12.913,77.5469,Insp. Vrishti Bera,2024,11,5
KAR/HAS/2024/0493,2025-03-26,05:01:00,property_crime,"Reported incident of property crime at Near Sangha, Hassan.",open,Hassan,Hassan Rural PS,"Near Sangha, Hassan",13.0491,76.0216,Insp. Jhalak Upadhyay,2025,3,5
KAR/BEN/2024/0494,2025-01-04,09:10:00,assault,"Reported incident of assault at Near Natt Nagar, Bengaluru Urban.",closed,Bengaluru Urban,Bengaluru Urban East PS,"Near Natt Nagar, Bengaluru Urban",13.0238,77.5276,Insp. Varsha Chahal,2025,1,9
KAR/BEN/2024/0495,2025-04-19,18:53:00,assault,"Reported incident of assault at Near Sem Nagar, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Sem Nagar, Bengaluru Urban",13.033,77.5879,Insp. Azaan Sankaran,2025,4,18
KAR/MYS/2024/0496,2025-01-17,10:16:00,cybercrime,"Reported incident of cybercrime at Near Andra Circle, Mysuru.",under_investigation,Mysuru,Mysuru North PS,"Near Andra Circle, Mysuru",12.3574,76.7067,Insp. Nilima Loyal,2025,1,10
KAR/CHI/2024/0497,2024-03-29,11:30:00,senior_citizen_crime,"Reported incident of senior citizen crime at Near Vyas Marg, Chikkamagaluru.",open,Chikkamagaluru,Chikkamagaluru Industrial PS,"Near Vyas Marg, Chikkamagaluru",13.3676,75.7471,Insp. George Ben,2024,3,11
KAR/BEN/2024/0498,2025-01-01,22:40:00,cybercrime,"Reported incident of cybercrime at Near Warrior Ganj, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban North PS,"Near Warrior Ganj, Bengaluru Urban",13.0091,77.5762,Insp. Onveer Sridhar,2025,1,22
KAR/SHI/2024/0499,2025-01-01,09:06:00,cybercrime,"Reported incident of cybercrime at Near Jhaveri Street, Shivamogga.",chargesheeted,Shivamogga,Shivamogga Market PS,"Near Jhaveri Street, Shivamogga",13.9677,75.5971,Insp. Siya Nazareth,2025,1,9
KAR/KOP/2024/0500,2025-01-10,02:27:00,vehicle_theft,"Reported incident of vehicle theft at Near Nazareth Marg, Koppal. Suspect vehicle noticed with plate KA-41-A-3782.",under_investigation,Koppal,Koppal Town PS,"Near Nazareth Marg, Koppal",15.3264,76.2013,Insp. Sneha Chandra,2025,1,2
KAR/MAN/2024/0501,2024-04-13,01:02:00,chain_snatching,"Reported incident of chain snatching at Near Barad Street, Mandya. Suspect vehicle noticed with plate KA-51-N-1735.",chargesheeted,Mandya,Mandya Suburban PS,"Near Barad Street, Mandya",12.5648,76.8915,Insp. Chanchal Dasgupta,2024,4,1
KAR/BEN/2024/0502,2024-07-25,17:14:00,vehicle_theft,"Reported incident of vehicle theft at Near Brar, Bengaluru Urban. Suspect vehicle noticed with plate KA-34-KA-5209.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Brar, Bengaluru Urban",13.0379,77.5396,Insp. Upasna Natt,2024,7,17
KAR/BEN/2024/0503,2024-04-22,09:38:00,eve_teasing,"Reported incident of eve teasing at Near Dhaliwal Road, Bengaluru Rural.",open,Bengaluru Rural,Bengaluru Rural East PS,"Near Dhaliwal Road, Bengaluru Rural",13.2673,77.573,Insp. Suhani Dhillon,2024,4,9
KAR/BEN/2024/0504,2024-11-01,03:15:00,vehicle_theft,"Reported incident of vehicle theft at Near Samra Zila, Bengaluru Urban. Suspect vehicle noticed with plate KA-52-KA-8365.",chargesheeted,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Samra Zila, Bengaluru Urban",13.0163,77.5453,Insp. Frado Ramaswamy,2024,11,3
KAR/BEN/2024/0505,2025-03-23,23:43:00,cybercrime,"Reported incident of cybercrime at Near Iyengar, Bengaluru Urban.",chargesheeted,Bengaluru Urban,Bengaluru Urban Central PS,"Near Iyengar, Bengaluru Urban",12.9673,77.6484,Insp. Madhav Batra,2025,3,23
KAR/BEN/2024/0506,2025-05-11,14:59:00,vehicle_theft,"Reported incident of vehicle theft at Near Lata Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-50-M-6314.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Lata Circle, Bengaluru Urban",12.868,77.5984,Insp. Fiyaz Raja,2025,5,14
KAR/BEN/2024/0507,2024-08-19,07:27:00,assault,"Reported incident of assault at Near Buch Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Buch Path, Bengaluru Urban",12.9867,77.5659,Insp. Om Butala,2024,8,7
KAR/KAL/2024/0508,2025-01-27,13:32:00,burglary,"Reported incident of burglary at Near Thaman Circle, Kalaburagi.",chargesheeted,Kalaburagi,Kalaburagi Industrial PS,"Near Thaman Circle, Kalaburagi",17.3745,76.8953,Insp. Krish Arora,2025,1,13
KAR/MAN/2024/0509,2024-02-19,08:20:00,domestic_violence,"Reported incident of domestic violence at Near Sarkar Marg, Mangaluru (Dakshina Kannada).",under_investigation,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Rural PS,"Near Sarkar Marg, Mangaluru (Dakshina Kannada)",12.8274,74.8643,Insp. Bhanumati Bath,2024,2,8
KAR/BEN/2024/0510,2024-07-31,07:05:00,fraud,"Reported incident of fraud at Near Sanghvi Circle, Bengaluru Urban.",closed,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Sanghvi Circle, Bengaluru Urban",12.9976,77.5546,Insp. Ekiya Bansal,2024,7,7
KAR/KAL/2024/0511,2024-08-25,04:54:00,assault,"Reported incident of assault at Near Chanda Circle, Kalaburagi.",under_investigation,Kalaburagi,Kalaburagi Market PS,"Near Chanda Circle, Kalaburagi",17.3151,76.7778,Insp. Anamika Keer,2024,8,4
KAR/VIJ/2024/0512,2024-05-15,01:16:00,cybercrime,"Reported incident of cybercrime at Near Yogi Zila, Vijayapura.",open,Vijayapura,Vijayapura Traffic PS,"Near Yogi Zila, Vijayapura",16.8257,75.704,Insp. Tarak Agarwal,2024,5,1
KAR/MYS/2024/0513,2024-03-27,13:46:00,hit_and_run,"Reported incident of hit and run at Near Brahmbhatt Street, Mysuru.",under_investigation,Mysuru,Mysuru East PS,"Near Brahmbhatt Street, Mysuru",12.2653,76.7464,Insp. Tarak Deol,2024,3,13
KAR/KAL/2024/0514,2024-11-27,06:06:00,vehicle_theft,"Reported incident of vehicle theft at Near Zachariah Chowk, Kalaburagi. Suspect vehicle noticed with plate KA-28-M-9530.",under_investigation,Kalaburagi,Kalaburagi Suburban PS,"Near Zachariah Chowk, Kalaburagi",17.2638,76.9217,Insp. Utkarsh Gera,2024,11,6
KAR/RAI/2024/0515,2024-11-11,05:40:00,vehicle_theft,"Reported incident of vehicle theft at Near Sood Nagar, Raichur. Suspect vehicle noticed with plate KA-37-A-1047.",closed,Raichur,Raichur Market PS,"Near Sood Nagar, Raichur",16.2392,77.3093,Insp. Tarak Roy,2024,11,5
KAR/KAL/2024/0516,2024-02-09,18:28:00,cybercrime,"Reported incident of cybercrime at Near Dugar Road, Kalaburagi.",open,Kalaburagi,Kalaburagi Market PS,"Near Dugar Road, Kalaburagi",17.3534,76.7555,Insp. Bimala Gala,2024,2,18
KAR/KOP/2024/0517,2024-07-25,05:21:00,chain_snatching,"Reported incident of chain snatching at Near Ganesan Chowk, Koppal. Suspect vehicle noticed with plate KA-47-N-3508.",under_investigation,Koppal,Koppal Town PS,"Near Ganesan Chowk, Koppal",15.3392,76.193,Insp. Avni Narang,2024,7,5
KAR/HAS/2024/0518,2025-02-04,07:31:00,robbery,"Reported incident of robbery at Near Rajagopalan Road, Hassan. Suspect vehicle noticed with plate KA-13-N-7309.",chargesheeted,Hassan,Hassan Suburban PS,"Near Rajagopalan Road, Hassan",12.9458,76.1612,Insp. Mohammed Nayar,2025,2,7
KAR/SHI/2024/0519,2024-11-12,14:50:00,property_crime,"Reported incident of property crime at Near Ray Road, Shivamogga.",open,Shivamogga,Shivamogga Traffic PS,"Near Ray Road, Shivamogga",14.0135,75.5996,Insp. Ayushman Sami,2024,11,14
KAR/BEN/2024/0520,2024-09-20,17:54:00,chain_snatching,"Reported incident of chain snatching at Near Chandra Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-17-P-3858.",closed,Bengaluru Urban,Bengaluru Urban South PS,"Near Chandra Ganj, Bengaluru Urban",12.9941,77.5478,Insp. Yashvi Dewan,2024,9,17
KAR/HUB/2024/0521,2024-02-06,07:22:00,drug_offence,"Reported incident of drug offence at Near Wadhwa Street, Hubballi-Dharwad.",under_investigation,Hubballi-Dharwad,Hubballi-Dharwad Traffic PS,"Near Wadhwa Street, Hubballi-Dharwad",15.2995,75.1803,Insp. Bimala Sarma,2024,2,7
KAR/BEN/2024/0522,2025-04-11,16:51:00,fraud,"Reported incident of fraud at Near Krishnamurthy Chowk, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban West PS,"Near Krishnamurthy Chowk, Bengaluru Urban",12.8849,77.5853,Insp. Krish Kumar,2025,4,16
KAR/BEN/2024/0523,2024-01-18,20:30:00,vehicle_theft,"Reported incident of vehicle theft at Near Savant Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-06-KA-4942.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Savant Nagar, Bengaluru Urban",13.0353,77.5935,Insp. Meera Hari,2024,1,20
KAR/BEL/2024/0524,2024-10-07,09:06:00,vehicle_theft,"Reported incident of vehicle theft at Near Rattan Road, Belagavi. Suspect vehicle noticed with plate KA-03-KA-1269.",chargesheeted,Belagavi,Belagavi Traffic PS,"Near Rattan Road, Belagavi",15.7908,74.4486,Insp. Hardik Majumdar,2024,10,9
KAR/BEN/2024/0525,2024-12-10,17:28:00,vehicle_theft,"Reported incident of vehicle theft at Near Chakraborty Circle, Bengaluru Urban. Suspect vehicle noticed with plate KA-07-KB-3870.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Chakraborty Circle, Bengaluru Urban",13.0365,77.5623,Insp. Hredhaan Venkataraman,2024,12,17
KAR/BEN/2024/0526,2025-01-11,02:42:00,chain_snatching,"Reported incident of chain snatching at Near Suresh Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-12-N-4051.",open,Bengaluru Urban,Bengaluru Urban South PS,"Near Suresh Marg, Bengaluru Urban",13.0352,77.5745,Insp. Unni Iyer,2025,1,2
KAR/BEN/2024/0527,2024-11-26,05:02:00,vehicle_theft,"Reported incident of vehicle theft at Near Konda Street, Bengaluru Urban. Suspect vehicle noticed with plate KA-02-B-1453.",closed,Bengaluru Urban,Bengaluru Urban North PS,"Near Konda Street, Bengaluru Urban",12.997,77.5662,Insp. Sneha Sandhu,2024,11,5
KAR/BEN/2024/0528,2024-05-15,10:45:00,cybercrime,"Reported incident of cybercrime at Near Parekh Chowk, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban South PS,"Near Parekh Chowk, Bengaluru Urban",13.0297,77.55,Insp. Rachit Kibe,2024,5,10
KAR/BEN/2024/0529,2024-10-25,07:26:00,chain_snatching,"Reported incident of chain snatching at Near Peri Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-13-KA-6635.",chargesheeted,Bengaluru Urban,Bengaluru Urban East PS,"Near Peri Ganj, Bengaluru Urban",12.9881,77.5529,Insp. Sarthak Agrawal,2024,10,7
KAR/BEL/2024/0530,2024-04-03,15:09:00,chain_snatching,"Reported incident of chain snatching at Near Sanghvi Circle, Belagavi. Suspect vehicle noticed with plate KA-43-B-1258.",open,Belagavi,Belagavi Town PS,"Near Sanghvi Circle, Belagavi",15.8011,74.545,Insp. Christopher Dave,2024,4,15
KAR/BEN/2024/0531,2024-02-25,16:04:00,burglary,"Reported incident of burglary at Near Agrawal Nagar, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Agrawal Nagar, Bengaluru Urban",12.9069,77.5957,Insp. Fitan Lanka,2024,2,16
KAR/TUM/2024/0532,2024-04-15,17:00:00,drug_offence,"Reported incident of drug offence at Near Boase Nagar, Tumakuru.",open,Tumakuru,Tumakuru Industrial PS,"Near Boase Nagar, Tumakuru",13.4009,77.0171,Insp. Ekantika Nori,2024,4,17
KAR/UDU/2024/0533,2024-11-15,17:42:00,robbery,"Reported incident of robbery at Near Pillai Road, Udupi. Suspect vehicle noticed with plate KA-01-KA-8088.",under_investigation,Udupi,Udupi Suburban PS,"Near Pillai Road, Udupi",13.2985,74.7483,Insp. Pushti Upadhyay,2024,11,17
KAR/BEN/2024/0534,2024-05-03,20:15:00,robbery,"Reported incident of robbery at Near Chad Chowk, Bengaluru Urban. Suspect vehicle noticed with plate KA-25-P-4015.",open,Bengaluru Urban,Bengaluru Urban East PS,"Near Chad Chowk, Bengaluru Urban",12.9862,77.5627,Insp. Robert Oommen,2024,5,20
KAR/BEN/2024/0535,2024-11-16,08:01:00,vehicle_theft,"Reported incident of vehicle theft at Near Bawa, Bengaluru Urban. Suspect vehicle noticed with plate KA-45-KB-6362.",chargesheeted,Bengaluru Urban,Bengaluru Urban East PS,"Near Bawa, Bengaluru Urban",12.9916,77.5302,Insp. Veer Varty,2024,11,8
KAR/UDU/2024/0536,2024-11-11,11:47:00,chain_snatching,"Reported incident of chain snatching at Near Setty Nagar, Udupi. Suspect vehicle noticed with plate KA-33-M-5993.",open,Udupi,Udupi Industrial PS,"Near Setty Nagar, Udupi",13.3352,74.725,Insp. Omkaar Mittal,2024,11,11
KAR/BEN/2024/0537,2024-12-27,18:40:00,chain_snatching,"Reported incident of chain snatching at Near Talwar Chowk, Bengaluru Urban. Suspect vehicle noticed with plate KA-49-P-7557.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Talwar Chowk, Bengaluru Urban",12.9763,77.6477,Insp. Chaitanya Upadhyay,2024,12,18
KAR/TUM/2024/0538,2024-03-01,16:53:00,cybercrime,"Reported incident of cybercrime at Near Iyengar Zila, Tumakuru.",under_investigation,Tumakuru,Tumakuru Industrial PS,"Near Iyengar Zila, Tumakuru",13.4073,77.0394,Insp. Zaid Mand,2024,3,16
KAR/SHI/2024/0539,2024-03-13,17:18:00,burglary,"Reported incident of burglary at Near Sarkar Road, Shivamogga.",under_investigation,Shivamogga,Shivamogga Suburban PS,"Near Sarkar Road, Shivamogga",13.9408,75.6523,Insp. Nidra Chatterjee,2024,3,17
KAR/UDU/2024/0540,2025-03-07,21:34:00,chain_snatching,"Reported incident of chain snatching at Near Varty Zila, Udupi. Suspect vehicle noticed with plate KA-46-A-1626.",open,Udupi,Udupi Rural PS,"Near Varty Zila, Udupi",13.3754,74.6442,Insp. Raagini Viswanathan,2025,3,21
KAR/MAN/2024/0541,2025-02-14,02:36:00,chain_snatching,"Reported incident of chain snatching at Near Soni Road, Mangaluru (Dakshina Kannada). Suspect vehicle noticed with plate KA-12-B-6445.",under_investigation,Mangaluru (Dakshina Kannada),Mangaluru (Dakshina Kannada) Town PS,"Near Soni Road, Mangaluru (Dakshina Kannada)",12.8412,74.8614,Insp. Zinal Dasgupta,2025,2,2
KAR/CHI/2024/0542,2024-08-10,18:54:00,burglary,"Reported incident of burglary at Near Oak Circle, Chikkamagaluru.",under_investigation,Chikkamagaluru,Chikkamagaluru Rural PS,"Near Oak Circle, Chikkamagaluru",13.2911,75.7892,Insp. Bina Lata,2024,8,18
KAR/BID/2024/0543,2024-02-05,17:28:00,vehicle_theft,"Reported incident of vehicle theft at Near Mammen Marg, Bidar. Suspect vehicle noticed with plate KA-02-M-7064.",open,Bidar,Bidar Traffic PS,"Near Mammen Marg, Bidar",17.9663,77.436,Insp. Azad Sen,2024,2,17
KAR/BEN/2024/0544,2025-04-25,23:47:00,fraud,"Reported incident of fraud at Near Choudhary Ganj, Bengaluru Urban.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Choudhary Ganj, Bengaluru Urban",12.9798,77.5858,Insp. Wakeeta Garg,2025,4,23
KAR/VIJ/2024/0545,2024-03-02,16:25:00,vehicle_theft,"Reported incident of vehicle theft at Near Mandal Street, Vijayapura. Suspect vehicle noticed with plate KA-14-A-5292.",chargesheeted,Vijayapura,Vijayapura Industrial PS,"Near Mandal Street, Vijayapura",16.845,75.6487,Insp. Bahadurjit Balay,2024,3,16
KAR/BEN/2024/0546,2024-11-11,19:17:00,chain_snatching,"Reported incident of chain snatching at Near Dash Nagar, Bengaluru Urban. Suspect vehicle noticed with plate KA-40-B-2939.",open,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Dash Nagar, Bengaluru Urban",12.9758,77.5931,Insp. Vedant Parekh,2024,11,19
KAR/DAV/2024/0547,2025-02-04,21:34:00,burglary,"Reported incident of burglary at Near Sibal Ganj, Davangere.",under_investigation,Davangere,Davangere Traffic PS,"Near Sibal Ganj, Davangere",14.529,75.9297,Insp. Frederick Buch,2025,2,21
KAR/BEL/2024/0548,2024-09-09,07:18:00,chain_snatching,"Reported incident of chain snatching at Near Boase Ganj, Belagavi. Suspect vehicle noticed with plate KA-44-KB-1057.",open,Belagavi,Belagavi Market PS,"Near Boase Ganj, Belagavi",15.8907,74.4173,Insp. Gautam Sagar,2024,9,7
KAR/DAV/2024/0549,2024-12-07,08:24:00,chain_snatching,"Reported incident of chain snatching at Near Merchant Nagar, Davangere. Suspect vehicle noticed with plate KA-02-KB-7203.",chargesheeted,Davangere,Davangere Suburban PS,"Near Merchant Nagar, Davangere",14.5684,75.9515,Insp. Brinda Muni,2024,12,8
KAR/KOL/2024/0550,2024-12-03,09:42:00,hit_and_run,"Reported incident of hit and run at Near Dhawan Nagar, Kolar.",open,Kolar,Kolar Market PS,"Near Dhawan Nagar, Kolar",13.092,78.1083,Insp. Peter Saxena,2024,12,9
KAR/BEN/2024/0551,2024-02-06,09:02:00,cybercrime,"Reported incident of cybercrime at Near Ramakrishnan Path, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban North PS,"Near Ramakrishnan Path, Bengaluru Urban",13.0265,77.5621,Insp. Sai Pal,2024,2,9
KAR/UDU/2024/0552,2025-04-19,10:59:00,burglary,"Reported incident of burglary at Near Vig, Udupi.",closed,Udupi,Udupi Town PS,"Near Vig, Udupi",13.3298,74.7964,Insp. Falguni Talwar,2025,4,10
KAR/BEN/2024/0553,2024-11-24,00:14:00,vehicle_theft,"Reported incident of vehicle theft at Near Chandran Ganj, Bengaluru Urban. Suspect vehicle noticed with plate KA-33-KA-6222.",open,Bengaluru Urban,Bengaluru Urban North PS,"Near Chandran Ganj, Bengaluru Urban",12.99,77.5643,Insp. Wriddhish Chada,2024,11,0
KAR/VIJ/2024/0554,2025-03-30,13:00:00,assault,"Reported incident of assault at Near Vala, Vijayapura.",open,Vijayapura,Vijayapura Market PS,"Near Vala, Vijayapura",16.8396,75.655,Insp. Lekha Kari,2025,3,13
KAR/KOL/2024/0555,2025-01-25,04:23:00,burglary,"Reported incident of burglary at Near Nagar Nagar, Kolar.",under_investigation,Kolar,Kolar Rural PS,"Near Nagar Nagar, Kolar",13.1579,78.2065,Insp. Darsh Jani,2025,1,4
KAR/CHI/2024/0556,2024-11-05,08:13:00,robbery,"Reported incident of robbery at Near Misra Circle, Chikkamagaluru. Suspect vehicle noticed with plate KA-02-KA-7984.",chargesheeted,Chikkamagaluru,Chikkamagaluru Town PS,"Near Misra Circle, Chikkamagaluru",13.2533,75.7306,Insp. Krisha Dar,2024,11,8
KAR/BEN/2024/0557,2024-08-23,19:17:00,burglary,"Reported incident of burglary at Near Kapadia Street, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban West PS,"Near Kapadia Street, Bengaluru Urban",12.877,77.5558,Insp. Abdul Patla,2024,8,19
KAR/BEN/2024/0558,2024-11-03,04:20:00,fraud,"Reported incident of fraud at Near Basak Circle, Bengaluru Rural.",open,Bengaluru Rural,Bengaluru Rural West PS,"Near Basak Circle, Bengaluru Rural",13.258,77.6327,Insp. Barkha Deo,2024,11,4
KAR/BID/2024/0559,2025-04-26,18:40:00,eve_teasing,"Reported incident of eve teasing at Near Lad Zila, Bidar.",under_investigation,Bidar,Bidar Rural PS,"Near Lad Zila, Bidar",17.9562,77.5194,Insp. Lakshmi Misra,2025,4,18
KAR/SHI/2024/0560,2024-02-09,12:10:00,assault,"Reported incident of assault at Near Singh Chowk, Shivamogga.",open,Shivamogga,Shivamogga Traffic PS,"Near Singh Chowk, Shivamogga",13.9883,75.6259,Insp. Victor Kanda,2024,2,12
KAR/BEN/2024/0561,2024-04-22,06:35:00,vehicle_theft,"Reported incident of vehicle theft at Near Kar Marg, Bengaluru Urban. Suspect vehicle noticed with plate KA-03-P-6770.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Kar Marg, Bengaluru Urban",13.0138,77.5849,Insp. Ekavir Ramachandran,2024,4,6
KAR/BEN/2024/0562,2024-06-15,01:07:00,fraud,"Reported incident of fraud at Near Parsa Ganj, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Traffic PS,"Near Parsa Ganj, Bengaluru Urban",12.9742,77.5923,Insp. Bahadurjit Banik,2024,6,1
KAR/HUB/2024/0563,2024-06-07,12:31:00,burglary,"Reported incident of burglary at Near Narayan Marg, Hubballi-Dharwad.",under_investigation,Hubballi-Dharwad,Hubballi-Dharwad Traffic PS,"Near Narayan Marg, Hubballi-Dharwad",15.2892,75.1754,Insp. Yashawini Kale,2024,6,12
KAR/TUM/2024/0564,2024-08-13,10:30:00,cybercrime,"Reported incident of cybercrime at Near Nazareth Ganj, Tumakuru.",open,Tumakuru,Tumakuru Market PS,"Near Nazareth Ganj, Tumakuru",13.298,77.0667,Insp. Falak Mistry,2024,8,10
KAR/BEN/2024/0565,2024-08-08,05:00:00,kidnapping,"Reported incident of kidnapping at Near Agrawal Zila, Bengaluru Urban.",under_investigation,Bengaluru Urban,Bengaluru Urban Central PS,"Near Agrawal Zila, Bengaluru Urban",13.0121,77.6512,Insp. Christopher Raghavan,2024,8,5
